,realtime_start,realtime_end,date,value
196,2025-06-26,2025-06-26,2016-05-01,12775.0
197,2025-06-26,2025-06-26,2016-06-01,12835.4
198,2025-06-26,2025-06-26,2016-07-01,12889.7
199,2025-06-26,2025-06-26,2016-08-01,12973.9
200,2025-06-26,2025-06-26,2016-09-01,13034.2
201,2025-06-26,2025-06-26,2016-10-01,13107.5
202,2025-06-26,2025-06-26,2016-11-01,13181.0
203,2025-06-26,2025-06-26,2016-12-01,13226.1
204,2025-06-26,2025-06-26,2017-01-01,13300.7
205,2025-06-26,2025-06-26,2017-02-01,13367.3
206,2025-06-26,2025-06-26,2017-03-01,13428.7
207,2025-06-26,2025-06-26,2017-04-01,13484.7
208,2025-06-26,2025-06-26,2017-05-01,13536.7
209,2025-06-26,2025-06-26,2017-06-01,13558.5
210,2025-06-26,2025-06-26,2017-07-01,13615.4
211,2025-06-26,2025-06-26,2017-08-01,13674.6
212,2025-06-26,2025-06-26,2017-09-01,13723.0
213,2025-06-26,2025-06-26,2017-10-01,13782.3
214,2025-06-26,2025-06-26,2017-11-01,13814.9
215,2025-06-26,2025-06-26,2017-12-01,13873.8
216,2025-06-26,2025-06-26,2018-01-01,13883.2
217,2025-06-26,2025-06-26,2018-02-01,13919.3
218,2025-06-26,2025-06-26,2018-03-01,13976.0
219,2025-06-26,2025-06-26,2018-04-01,13993.9
220,2025-06-26,2025-06-26,2018-05-01,14049.6
221,2025-06-26,2025-06-26,2018-06-01,14109.9
222,2025-06-26,2025-06-26,2018-07-01,14144.2
223,2025-06-26,2025-06-26,2018-08-01,14193.9
224,2025-06-26,2025-06-26,2018-09-01,14229.3
225,2025-06-26,2025-06-26,2018-10-01,14241.4
226,2025-06-26,2025-06-26,2018-11-01,14260.8
227,2025-06-26,2025-06-26,2018-12-01,14382.6
228,2025-06-26,2025-06-26,2019-01-01,14446.1
229,2025-06-26,2025-06-26,2019-02-01,14481.2
230,2025-06-26,2025-06-26,2019-03-01,14526.2
231,2025-06-26,2025-06-26,2019-04-01,14554.5
232,2025-06-26,2025-06-26,2019-05-01,14652.4
233,2025-06-26,2025-06-26,2019-06-01,14771.4
234,2025-06-26,2025-06-26,2019-07-01,14853.5
235,2025-06-26,2025-06-26,2019-08-01,14934.7
236,2025-06-26,2025-06-26,2019-09-01,15031.4
237,2025-06-26,2025-06-26,2019-10-01,15167.3
238,2025-06-26,2025-06-26,2019-11-01,15276.9
239,2025-06-26,2025-06-26,2019-12-01,15348.0
240,2025-06-26,2025-06-26,2020-01-01,15416.8
241,2025-06-26,2025-06-26,2020-02-01,15467.0
242,2025-06-26,2025-06-26,2020-03-01,15993.8
243,2025-06-26,2025-06-26,2020-04-01,17005.8
244,2025-06-26,2025-06-26,2020-05-01,17853.4
245,2025-06-26,2025-06-26,2020-06-01,18141.1
246,2025-06-26,2025-06-26,2020-07-01,18298.0
247,2025-06-26,2025-06-26,2020-08-01,18364.3
248,2025-06-26,2025-06-26,2020-09-01,18596.6
249,2025-06-26,2025-06-26,2020-10-01,18751.3
250,2025-06-26,2025-06-26,2020-11-01,18979.1
251,2025-06-26,2025-06-26,2020-12-01,19133.2
252,2025-06-26,2025-06-26,2021-01-01,19359.7
253,2025-06-26,2025-06-26,2021-02-01,19596.7
254,2025-06-26,2025-06-26,2021-03-01,19823.4
255,2025-06-26,2025-06-26,2021-04-01,20160.7
256,2025-06-26,2025-06-26,2021-05-01,20427.1
257,2025-06-26,2025-06-26,2021-06-01,20474.7
258,2025-06-26,2025-06-26,2021-07-01,20628.8
259,2025-06-26,2025-06-26,2021-08-01,20811.3
260,2025-06-26,2025-06-26,2021-09-01,20978.9
261,2025-06-26,2025-06-26,2021-10-01,21142.9
262,2025-06-26,2025-06-26,2021-11-01,21317.4
263,2025-06-26,2025-06-26,2021-12-01,21471.6
264,2025-06-26,2025-06-26,2022-01-01,21586.8
265,2025-06-26,2025-06-26,2022-02-01,21685.0
266,2025-06-26,2025-06-26,2022-03-01,21721.5
267,2025-06-26,2025-06-26,2022-04-01,21749.9
268,2025-06-26,2025-06-26,2022-05-01,21690.1
269,2025-06-26,2025-06-26,2022-06-01,21642.6
270,2025-06-26,2025-06-26,2022-07-01,21641.9
271,2025-06-26,2025-06-26,2022-08-01,21607.0
272,2025-06-26,2025-06-26,2022-09-01,21521.3
273,2025-06-26,2025-06-26,2022-10-01,21424.5
274,2025-06-26,2025-06-26,2022-11-01,21357.6
275,2025-06-26,2025-06-26,2022-12-01,21219.2
276,2025-06-26,2025-06-26,2023-01-01,21205.4
277,2025-06-26,2025-06-26,2023-02-01,21185.4
278,2025-06-26,2025-06-26,2023-03-01,20876.9
279,2025-06-26,2025-06-26,2023-04-01,20730.0
280,2025-06-26,2025-06-26,2023-05-01,20801.3
281,2025-06-26,2025-06-26,2023-06-01,20782.8
282,2025-06-26,2025-06-26,2023-07-01,20772.3
